,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
23,Manu Morlanes,es ESP,MF,23.0,13,11,850.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.4,0.01,,,,,,,,1.0,0.0,0.0,0.0,25.6,350.0,380.0,92.1,5611.0,1562.0,0.7,8.0,5.0,10.0,55.6,7.0,14.0,2.0,0.0,4.0,3.0,57.1,2022-2023,Villarreal,La Liga
24,Arnaut Danjuma,nl NED,FW,25.0,17,10,814.0,9.0,6.0,0.0,6.0,5.0,1.0,2.0,0.0,0.0,5.2,3.6,0.9,0.46,,,,,,,,25.0,11.0,44.0,0.2,16.0,100.0,134.0,74.6,1322.0,275.0,0.3,4.0,2.0,4.0,50.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,2022-2023,Villarreal,La Liga
25,Filip Jørgensen,dk DEN,GK,20.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,10.0,55.0,0.0,1.0,16.7,0.0,0.0,,,,121.0,147.0,82.3,2870.0,1949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2022-2023,Villarreal,La Liga
26,Adrián de la Fuente,es ESP,DF,23.0,4,4,274.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.01,,,,,,,,1.0,1.0,100.0,0.0,30.3,133.0,156.0,85.3,2446.0,553.0,0.1,1.0,1.0,1.0,100.0,4.0,5.0,9.0,1.0,3.0,1.0,75.0,2022-2023,Villarreal,La Liga
27,Diego Collado,es ESP,FW,21.0,3,1,96.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,5.0,7.0,71.4,111.0,15.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Villarreal,La Liga
28,Pascu,es ESP,"DF,FW",19.0,3,1,67.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.19,,,,,,,,1.0,1.0,100.0,1.0,18.0,12.0,16.0,75.0,150.0,15.0,0.0,3.0,3.0,1.0,75.0,0.0,3.0,0.0,0.0,1.0,2.0,33.3,2022-2023,Villarreal,La Liga
29,Mamadou Fall,sn SEN,DF,19.0,2,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,13.0,16.0,81.3,254.0,64.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,2022-2023,Villarreal,La Liga
30,Haissem Hassan,fr FRA,"FW,MF",20.0,2,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,15.0,20.0,75.0,292.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,50.0,2022-2023,Villarreal,La Liga
31,Fernando Niño,es ESP,"MF,FW",21.0,3,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.31,,,,,,,,1.0,0.0,0.0,0.0,11.9,5.0,5.0,100.0,62.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022-2023,Villarreal,La Liga
32,Alberto Del Moral,es ESP,MF,22.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Villarreal,La Liga
33,Rodrigo Alonso,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Villarreal,La Liga
34,Antonio Pacheco,es ESP,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Villarreal,La Liga
35,Gianni,es ESP,GK,29.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Villarreal,La Liga
36,Marcos Sánchez,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Villarreal,La Liga
37,Pervis Estupiñán,ec ECU,"DF,MF",24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Villarreal,La Liga
38,Iker Álvarez,ad AND,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Villarreal,La Liga
39,Sergio Carreira,es ESP,"DF,MF",21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Villarreal,La Liga
40,Carlo,es ESP,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Villarreal,La Liga
41,Carlos Romero,es ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Villarreal,La Liga
0,Guido Rodríguez,ar ARG,MF,28.0,44,39,3463.0,38.5,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.4,1.4,0.6,0.04,,,,,,,,28.0,9.0,32.1,0.07,23.6,1660.0,1913.0,86.8,26957.0,8820.0,0.9,137.0,67.0,90.0,55.8,50.0,186.0,84.0,2.0,49.0,47.0,51.0,2022-2023,Real Betis,La Liga
1,Germán Pezzella,ar ARG,DF,31.0,39,36,3185.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.2,1.2,0.2,0.04,,,,,,,,18.0,1.0,5.6,0.0,12.4,1317.0,1532.0,86.0,24670.0,9365.0,0.5,45.0,29.0,31.0,67.4,62.0,103.0,144.0,1.0,80.0,37.0,68.4,2022-2023,Real Betis,La Liga
2,Sergio Canales,es ESP,"FW,MF",31.0,42,35,3109.0,34.5,6.0,3.0,9.0,5.0,1.0,1.0,4.0,2.0,5.2,4.4,6.8,0.14,,,,,,,,62.0,17.0,27.4,0.08,23.1,1470.0,1893.0,77.7,22823.0,5885.0,6.8,30.0,18.0,17.0,45.0,18.0,47.0,9.0,0.0,15.0,25.0,37.5,2022-2023,Real Betis,La Liga
3,William Carvalho,pt POR,MF,30.0,43,36,3001.0,33.3,4.0,2.0,6.0,4.0,0.0,0.0,6.0,1.0,3.4,3.4,1.7,0.11,,,,,,,,34.0,11.0,32.4,0.12,16.4,1746.0,2018.0,86.5,28563.0,8700.0,2.3,49.0,21.0,33.0,41.2,20.0,67.0,25.0,1.0,36.0,30.0,54.5,2022-2023,Real Betis,La Liga
