,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
2,Brice Samba,fr FRA,GK,28,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.0,28.0,125.0,98.0,80.0,0.0,15.0,40.5,0.0,0.0,,,,938.0,1237.0,75.8,25038.0,16717.0,0.0,1.0,1.0,0.0,50.0,0.0,1.0,12.0,2.0,8.0,2.0,80.0,2022-2023,Lens,Ligue 1
3,Salis Abdul Samed,gh GHA,MF,22,37,37,3284.0,36.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.9,0.9,1.6,0.03,,,,,,,,15.0,4.0,26.7,0.07,19.1,1819.0,1981.0,91.8,28679.0,7020.0,2.3,46.0,29.0,30.0,55.8,38.0,82.0,26.0,0.0,14.0,17.0,45.2,2022-2023,Lens,Ligue 1
4,Florian Sotoca,fr FRA,"MF,FW",31,42,35,3241.0,36.0,8.0,9.0,17.0,7.0,1.0,3.0,4.0,0.0,10.5,8.1,8.1,0.24,,,,,,,,92.0,32.0,34.8,0.08,15.6,1172.0,1536.0,76.3,20095.0,5544.0,6.1,39.0,15.0,21.0,37.5,30.0,68.0,51.0,0.0,56.0,45.0,55.4,2022-2023,Lens,Ligue 1
5,Jonathan Gradit,fr FRA,DF,29,37,37,3207.0,35.6,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,1.1,0.03,,,,,,,,5.0,1.0,20.0,0.2,14.1,1875.0,2093.0,89.6,34040.0,12990.0,1.6,62.0,31.0,46.0,58.5,43.0,100.0,83.0,0.0,47.0,45.0,51.1,2022-2023,Lens,Ligue 1
6,Przemysław Frankowski,pl POL,"DF,MF",27,41,32,3005.0,33.4,5.0,3.0,8.0,2.0,3.0,3.0,4.0,0.0,4.2,1.8,6.8,0.06,,,,,,,,29.0,6.0,20.7,0.07,22.1,1364.0,1828.0,74.6,23200.0,8259.0,6.9,77.0,39.0,53.0,48.8,45.0,118.0,42.0,2.0,12.0,21.0,36.4,2022-2023,Lens,Ligue 1
7,Facundo Medina,ar ARG,DF,23,35,34,2879.0,32.0,3.0,5.0,8.0,3.0,0.0,0.0,7.0,0.0,2.6,2.6,1.8,0.08,,,,,,,,19.0,5.0,26.3,0.16,13.9,2260.0,2506.0,90.2,37270.0,14504.0,1.8,31.0,13.0,22.0,37.1,27.0,57.0,62.0,1.0,37.0,43.0,46.3,2022-2023,Lens,Ligue 1
8,Loïs Openda,be BEL,FW,22,42,32,2784.0,30.9,21.0,4.0,25.0,20.0,1.0,1.0,2.0,0.0,18.4,17.6,4.0,0.63,,,,,,,,108.0,52.0,48.1,0.19,13.1,297.0,443.0,67.0,4347.0,944.0,3.7,11.0,2.0,10.0,15.4,2.0,13.0,6.0,0.0,13.0,20.0,39.4,2022-2023,Lens,Ligue 1
9,Deiver Machado,co COL,"DF,MF",28,36,27,2393.0,26.6,4.0,3.0,7.0,4.0,0.0,0.0,5.0,1.0,1.3,1.3,2.8,0.05,,,,,,,,21.0,7.0,33.3,0.19,19.3,719.0,875.0,82.2,11319.0,3207.0,2.6,45.0,21.0,33.0,61.8,24.0,66.0,27.0,0.0,15.0,29.0,34.1,2022-2023,Lens,Ligue 1
10,Massadio Haïdara,ml MLI,"DF,MF",29,39,19,1869.0,20.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,2.1,2.1,1.1,0.11,,,,,,,,15.0,1.0,6.7,0.0,11.6,843.0,996.0,84.6,13642.0,4334.0,1.5,24.0,12.0,19.0,50.0,39.0,60.0,39.0,1.0,38.0,15.0,71.7,2022-2023,Lens,Ligue 1
11,David Pereira da Costa,pt POR,"MF,FW",21,34,18,1595.0,17.7,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.8,2.8,4.1,0.18,,,,,,,,29.0,9.0,31.0,0.03,17.6,615.0,761.0,80.8,9640.0,2690.0,4.2,13.0,7.0,7.0,36.8,12.0,24.0,6.0,0.0,3.0,11.0,21.4,2022-2023,Lens,Ligue 1
12,Adrien Thomasson,fr FRA,"MF,FW",28,23,18,1502.0,16.7,6.0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,3.0,3.0,2.8,0.21,,,,,,,,28.0,11.0,39.3,0.21,14.5,440.0,559.0,78.7,6769.0,1554.0,1.6,24.0,12.0,20.0,26.7,6.0,28.0,17.0,0.0,12.0,18.0,40.0,2022-2023,Lens,Ligue 1
13,Angelo Fulgini,fr FRA,"MF,FW",25,19,13,956.0,10.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.3,1.3,2.7,0.13,,,,,,,,18.0,10.0,55.6,0.11,15.7,380.0,501.0,75.8,5810.0,1938.0,3.4,14.0,5.0,8.0,35.7,10.0,22.0,2.0,0.0,4.0,14.0,22.2,2022-2023,Lens,Ligue 1
14,Jean Onana,cm CMR,"MF,DF",22,23,10,934.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.4,0.04,,,,,,,,8.0,3.0,37.5,0.0,23.1,412.0,478.0,86.2,6872.0,1606.0,0.3,28.0,10.0,18.0,45.5,20.0,46.0,20.0,0.0,9.0,7.0,56.3,2022-2023,Lens,Ligue 1
15,Alexis Claude-Maurice,fr FRA,"MF,FW",24,22,7,736.0,8.2,5.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,2.6,2.6,1.3,0.39,,,,,,,,17.0,11.0,64.7,0.29,16.6,201.0,240.0,83.8,2708.0,541.0,0.9,14.0,6.0,9.0,37.5,2.0,16.0,1.0,0.0,4.0,2.0,66.7,2022-2023,Lens,Ligue 1
16,Wesley Saïd,fr FRA,"FW,MF",27,22,7,689.0,7.7,6.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,3.3,3.3,0.9,0.46,,,,,,,,29.0,11.0,37.9,0.21,14.5,155.0,195.0,79.5,2247.0,565.0,0.8,4.0,2.0,2.0,33.3,1.0,5.0,2.0,0.0,5.0,7.0,41.7,2022-2023,Lens,Ligue 1
17,Jimmy Cabot,fr FRA,"DF,MF",28,11,5,511.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.1,0.05,,,,,,,,5.0,1.0,20.0,0.0,17.0,261.0,346.0,75.4,4629.0,1527.0,2.0,20.0,12.0,12.0,46.2,4.0,24.0,12.0,0.0,3.0,3.0,50.0,2022-2023,Lens,Ligue 1
18,Jean-Louis Leca,fr FRA,GK,36,5,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,13.0,81.3,0.0,1.0,20.0,0.0,0.0,,,,32.0,39.0,82.1,953.0,690.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,100.0,2022-2023,Lens,Ligue 1
19,Julien Le Cardinal,fr FRA,DF,24,11,5,408.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.31,,,,,,,,12.0,3.0,25.0,0.0,9.6,90.0,121.0,74.4,1556.0,466.0,0.4,6.0,4.0,15.0,66.7,3.0,8.0,5.0,0.0,9.0,7.0,56.3,2022-2023,Lens,Ligue 1
20,Łukasz Poręba,pl POL,MF,22,12,5,382.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.7,0.2,,,,,,,,5.0,0.0,0.0,0.0,17.1,116.0,143.0,81.1,1866.0,539.0,0.4,5.0,2.0,7.0,66.7,4.0,9.0,2.0,0.0,3.0,1.0,75.0,2022-2023,Lens,Ligue 1
