,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,GA,SoTA,Saves,Save%,Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,TotDist,PrgDist,xA,Tkl,Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
30,Lucas Lavallée,fr FRA,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
31,Nehemiah Fernandez,fr FRA,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
32,Ayman Kari,fr FRA,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
33,Hugo Lamy,fr FRA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
34,Serif Nhaga,pt POR,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
35,Mauro Icardi,ar ARG,FW,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
36,Idrissa Gana Gueye,sn SEN,MF,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
0,Kevin Danso,at AUT,DF,23,40,40,3502.0,38.9,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,2.5,2.4,1.0,3.5,34.0,163.0,2.0,0.03,0.05,0.08,0.03,0.08,0.07,0.03,0.1,0.07,0.1,Matches,,,,,,,,26.0,4.0,15.4,0.04,14.9,2103.0,709.0,1184.0,187.0,2336.0,769.0,1267.0,257.0,90.0,92.2,93.4,72.8,39503.0,14272.0,1.3,37.0,19.0,20.0,63.3,37.0,70.0,124.0,0.0,82.0,32.0,71.9,2022-2023,Lens,Ligue 1
1,Seko Fofana,ci CIV,MF,27,39,36,3337.0,37.1,9.0,6.0,15.0,8.0,1.0,2.0,2.0,0.0,9.3,7.7,3.6,11.3,117.0,165.0,233.0,0.24,0.16,0.4,0.22,0.38,0.27,0.11,0.38,0.22,0.33,Matches,,,,,,,,90.0,24.0,26.7,0.09,19.9,1590.0,806.0,604.0,120.0,1820.0,880.0,674.0,157.0,87.4,91.6,89.6,76.4,25744.0,5048.0,3.3,28.0,15.0,15.0,38.5,19.0,47.0,14.0,0.0,22.0,15.0,59.5,2022-2023,Lens,Ligue 1
2,Brice Samba,fr FRA,GK,28,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,28.0,125.0,98.0,80.0,0.0,15.0,40.5,0.0,0.0,,,,938.0,208.0,395.0,320.0,1237.0,209.0,402.0,607.0,75.8,99.5,98.3,52.7,25038.0,16717.0,0.0,1.0,1.0,0.0,50.0,0.0,1.0,12.0,2.0,8.0,2.0,80.0,2022-2023,Lens,Ligue 1
3,Salis Abdul Samed,gh GHA,MF,22,37,37,3284.0,36.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.9,0.9,1.6,2.5,33.0,165.0,44.0,0.03,0.03,0.05,0.03,0.05,0.03,0.05,0.08,0.03,0.08,Matches,,,,,,,,15.0,4.0,26.7,0.07,19.1,1819.0,897.0,769.0,92.0,1981.0,964.0,811.0,117.0,91.8,93.0,94.8,78.6,28679.0,7020.0,2.3,46.0,29.0,30.0,55.8,38.0,82.0,26.0,0.0,14.0,17.0,45.2,2022-2023,Lens,Ligue 1
